episode,total_reward,epsilon
282,115.0,0.853623
283,130.0,0.853071
284,145.0,0.852615
285,30.0,0.8523149999999999
286,220.0,0.8516980000000001
287,40.0,0.851318
288,60.0,0.851047
289,110.0,0.850657
290,165.0,0.850041
291,135.0,0.84951
292,100.0,0.849077
293,50.0,0.848824
294,255.0,0.848123
295,290.0,0.847575
296,105.0,0.847091
297,165.0,0.846575
298,80.0,0.846244
299,155.0,0.845719
300,210.0,0.845186
301,150.0,0.844657
302,35.0,0.844351
303,30.0,0.844059
304,10.0,0.84377
305,255.0,0.842986
306,280.0,0.842327
307,135.0,0.8419300000000001
308,35.0,0.841552
309,190.0,0.841105
310,215.0,0.840423
311,135.0,0.839861
312,65.0,0.839422
313,150.0,0.838851
314,155.0,0.8383579999999999
315,180.0,0.837781
316,155.0,0.83725
317,120.0,0.836858
318,170.0,0.83638
319,225.0,0.835565
320,270.0,0.834808
321,85.0,0.834384
322,135.0,0.833899
323,225.0,0.8331850000000001
324,120.0,0.832713
325,145.0,0.832028
326,140.0,0.831348
327,180.0,0.830832
328,375.0,0.83002
329,140.0,0.8295170000000001
330,155.0,0.828968
331,125.0,0.8284320000000001
332,240.0,0.827707
333,80.0,0.827419
334,50.0,0.827024
335,120.0,0.826642
336,405.0,0.826039
337,725.0,0.82527
338,125.0,0.824719
339,80.0,0.824149
340,180.0,0.823545
341,210.0,0.822964
342,440.0,0.822016
343,135.0,0.821377
344,110.0,0.820989
345,90.0,0.820468
346,120.0,0.81999
347,135.0,0.819464
348,175.0,0.818767
349,185.0,0.8180959999999999
350,10.0,0.817767
351,235.0,0.8169839999999999
352,120.0,0.816441
353,185.0,0.815914
354,230.0,0.815018
355,135.0,0.8145290000000001
356,105.0,0.814072
357,155.0,0.813591
358,160.0,0.812874
359,95.0,0.81239
360,120.0,0.811886
361,455.0,0.811055
362,120.0,0.810703
363,290.0,0.809923
364,140.0,0.809449
365,230.0,0.808846
366,140.0,0.8083
367,90.0,0.80791
368,135.0,0.807428
369,170.0,0.806927
370,145.0,0.8063750000000001
371,110.0,0.806094
372,35.0,0.8057
373,200.0,0.805212
374,210.0,0.804584
375,420.0,0.803584
376,160.0,0.803069
377,180.0,0.802543
378,45.0,0.801893
379,120.0,0.801403
380,265.0,0.8005800000000001
381,190.0,0.799966
382,125.0,0.799602
383,155.0,0.799055
384,155.0,0.798579
385,180.0,0.798072
386,160.0,0.79752
387,290.0,0.796762
388,120.0,0.796373
389,135.0,0.795952
390,120.0,0.795294
391,90.0,0.794911
392,150.0,0.794339
393,80.0,0.793929
394,95.0,0.793356
395,395.0,0.792325
396,105.0,0.791947
397,60.0,0.791533
398,135.0,0.791096
399,155.0,0.790423
400,80.0,0.790038
401,50.0,0.789511
402,625.0,0.7882979999999999
403,30.0,0.788015
404,170.0,0.7874950000000001
405,30.0,0.787211
406,110.0,0.78673
407,275.0,0.7859039999999999
408,275.0,0.78528
409,175.0,0.784706
410,155.0,0.784161
411,155.0,0.7836609999999999
412,130.0,0.783075
413,120.0,0.78251
414,105.0,0.782091
415,550.0,0.781514
416,135.0,0.781044
417,95.0,0.7806839999999999
418,365.0,0.7801
419,180.0,0.779595
420,225.0,0.778869
421,40.0,0.778447
422,180.0,0.7779659999999999
423,150.0,0.777398
424,160.0,0.776843
425,100.0,0.776194
426,165.0,0.775747
427,210.0,0.775207
428,185.0,0.774445
429,35.0,0.773975
430,115.0,0.773451
431,15.0,0.773068
432,305.0,0.772313
433,210.0,0.771751
434,80.0,0.7712600000000001
435,70.0,0.770987
436,45.0,0.7706109999999999
437,65.0,0.77012
438,245.0,0.769412
439,80.0,0.7689509999999999
440,75.0,0.768567
441,245.0,0.767773
442,310.0,0.76707
443,120.0,0.766372
444,280.0,0.765671
445,120.0,0.7652220000000001
446,100.0,0.76486
447,280.0,0.764012
448,250.0,0.7634259999999999
449,45.0,0.763028
450,50.0,0.762766
451,300.0,0.762037
452,140.0,0.76154
453,120.0,0.7612099999999999
454,90.0,0.760823
455,285.0,0.760092
456,185.0,0.759454
457,135.0,0.75874
458,145.0,0.758219
459,105.0,0.757811
460,205.0,0.757196
461,125.0,0.756696
462,245.0,0.756089
463,215.0,0.755196
